academic_stream,twelfth_percentage,budget_range,primary_interest,risk_appetite,india_vs_abroad,india_entrance_exams,abroad_entrance_exams,visa_policy_summary,university_comparison,cutoff_criteria
Science,84.3,5-10L,Technology,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,75.8,10-20L,Government,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,71.7,10-20L,Business,Medium,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Commerce,65.5,5-10L,Medicine,Medium,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,88.5,10-20L,Government,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,62.8,10-20L,Research,Medium,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,59.7,10-20L,Medicine,Low,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,87.1,10-20L,Arts,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,54.7,30-50L,Government,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Commerce,70.0,50L+,Government,High,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,67.6,20-30L,Arts,Low,Either (India Recommended),CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,63.6,30-50L,Technology,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,61.1,50L+,Medicine,Medium,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,81.5,10-20L,Technology,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,62.3,30-50L,Medicine,High,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,86.4,10-20L,Technology,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,100.0,50L+,Medicine,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,84.4,10-20L,Business,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,76.9,20-30L,Research,Medium,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,75.2,5-10L,Business,Low,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,61.6,5-10L,Research,High,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,72.3,10-20L,Government,Medium,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,71.8,5-10L,Research,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,78.1,50L+,Business,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,68.8,20-30L,Business,Low,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,76.9,10-20L,Arts,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,61.1,20-30L,Research,Medium,Either (India Recommended),CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,74.3,20-30L,Government,Low,Either (India Recommended),CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,86.1,10-20L,Research,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,79.6,20-30L,Technology,High,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,40.0,10-20L,Medicine,Medium,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,79.7,20-30L,Technology,High,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,88.2,5-10L,Research,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,82.5,20-30L,Medicine,Medium,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,73.6,5-10L,Medicine,Medium,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,85.8,30-50L,Research,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,70.4,10-20L,Business,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,56.1,50L+,Technology,Medium,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Arts,80.4,20-30L,Business,Medium,Either (India Recommended),CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Arts,78.4,30-50L,Business,Medium,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,85.5,20-30L,Technology,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,75.0,10-20L,Government,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,73.7,20-30L,Government,High,Either (India Recommended),CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,73.1,50L+,Medicine,Medium,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,59.2,30-50L,Business,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,95.1,10-20L,Business,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,83.2,30-50L,Research,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,86.5,30-50L,Government,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,73.0,5-10L,Technology,Low,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Arts,69.4,5-10L,Medicine,High,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,74.9,50L+,Research,High,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Commerce,79.8,10-20L,Technology,Medium,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Commerce,59.0,10-20L,Business,Low,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,78.2,50L+,Business,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,82.8,10-20L,Arts,Medium,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,74.0,5-10L,Technology,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,77.2,50L+,Government,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,63.0,30-50L,Research,High,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,81.8,10-20L,Medicine,High,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,81.6,20-30L,Government,High,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,62.4,10-20L,Medicine,High,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,58.3,5-10L,Business,Low,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,67.1,10-20L,Technology,Medium,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,94.1,30-50L,Research,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,79.7,30-50L,Technology,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,60.2,20-30L,Government,Medium,Either (India Recommended),CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Commerce,70.3,50L+,Research,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,68.7,5-10L,Business,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,65.1,30-50L,Research,Low,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,76.7,5-10L,Government,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,84.5,20-30L,Technology,High,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,77.4,20-30L,Technology,Medium,Either (India Recommended),CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,63.6,30-50L,Arts,Medium,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,76.4,10-20L,Business,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,62.2,50L+,Research,Low,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,80.6,5-10L,Research,Medium,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Commerce,69.3,10-20L,Research,Medium,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,66.0,20-30L,Government,High,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,69.1,10-20L,Government,Low,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Arts,77.9,5-10L,Technology,Low,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,69.3,5-10L,Arts,Low,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,81.2,50L+,Research,High,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,87.9,20-30L,Government,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,63.4,5-10L,Business,Medium,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,66.9,30-50L,Technology,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,82.6,10-20L,Business,Medium,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,83.8,10-20L,Arts,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,83.0,20-30L,Research,Low,Either (India Recommended),CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,62.9,50L+,Government,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Commerce,67.8,10-20L,Medicine,Medium,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,84.4,50L+,Arts,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,71.5,10-20L,Medicine,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,79.9,10-20L,Technology,High,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,84.4,20-30L,Medicine,Low,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,87.4,10-20L,Medicine,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,69.8,5-10L,Technology,Medium,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Commerce,68.9,10-20L,Arts,Medium,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,76.3,50L+,Government,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,67.8,20-30L,Technology,Medium,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,60.4,5-10L,Business,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,88.1,10-20L,Technology,High,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,77.9,5-10L,Government,Low,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Arts,84.7,10-20L,Arts,Medium,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,66.8,10-20L,Technology,Medium,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,65.6,50L+,Medicine,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,71.8,20-30L,Government,Medium,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,69.2,20-30L,Medicine,Medium,Either (India Recommended),CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,73.2,5-10L,Medicine,Low,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,56.5,30-50L,Research,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,61.2,30-50L,Medicine,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,70.4,20-30L,Government,Low,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,73.0,5-10L,Medicine,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,81.5,20-30L,Business,High,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,73.1,10-20L,Technology,Medium,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,66.1,5-10L,Research,High,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,69.5,30-50L,Research,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,70.2,10-20L,Arts,Low,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,72.2,50L+,Technology,High,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,60.2,20-30L,Technology,Medium,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,63.2,20-30L,Arts,Medium,Either (India Recommended),CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,54.7,5-10L,Business,Medium,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,76.2,10-20L,Research,High,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,64.5,30-50L,Research,Low,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,85.9,5-10L,Technology,High,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Commerce,70.2,50L+,Research,Low,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Commerce,72.3,50L+,Business,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,68.2,20-30L,Arts,High,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,86.0,10-20L,Arts,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,72.1,30-50L,Research,High,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,75.8,5-10L,Business,Low,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,66.3,30-50L,Medicine,High,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Commerce,67.3,5-10L,Business,High,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,70.1,30-50L,Business,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,64.9,50L+,Research,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,68.7,5-10L,Research,High,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Commerce,70.5,30-50L,Government,High,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,81.4,50L+,Business,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,66.6,5-10L,Research,Medium,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Arts,81.7,20-30L,Research,Medium,Either (India Recommended),CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,72.2,50L+,Research,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,71.9,20-30L,Business,Low,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,85.4,20-30L,Arts,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,62.9,20-30L,Arts,Medium,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,63.3,30-50L,Government,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
